cost_scenario,subset,model,lead_time,policy,maintenance_rate_mean,maintenance_rate_std,early_maintenance_rate_mean,early_maintenance_rate_std,late_maintenance_rate_mean,late_maintenance_rate_std,missed_critical_rate_mean,missed_critical_rate_std,expected_cost_mean,expected_cost_std,oracle_expected_cost_mean,oracle_expected_cost_std,decision_regret_mean,decision_regret_std
balanced_low,FD001,cnn,10.0,mean,0.03,0.026457513110645904,0.01,0.009999999999999998,0.05000000000000001,0.020000000000000004,0.22,0.0264575131106459,2.4804,0.33399742513977543,0.07,0.0,2.4103999999999997,0.3339974251397753
balanced_low,FD001,cnn,20.0,mean,0.12333333333333334,0.05033222956847168,0.016666666666666666,0.015275252316519468,0.05333333333333334,0.03511884584284246,0.13333333333333333,0.04509249752822894,1.7264,0.5734878900203559,0.16,0.0,1.5664,0.5734878900203562
balanced_low,FD001,cnn,30.0,mean,0.16333333333333333,0.03785938897200183,0.01,0.0,0.09666666666666668,0.03785938897200183,0.09666666666666668,0.03785938897200183,1.6149333333333333,0.5300314456080256,0.25,0.0,1.364933333333333,0.5300314456080256
balanced_low,FD001,cnn,50.0,mean,0.24333333333333332,0.040414518843273795,0.013333333333333334,0.005773502691896258,0.09999999999999999,0.034641016151377546,0.05333333333333334,0.01527525231651947,1.2839333333333334,0.2672156682032948,0.33,0.0,0.9539333333333334,0.2672156682032948
balanced_low,FD001,gradient_boosting,10.0,mean,0.043333333333333335,0.005773502691896259,0.0,0.0,0.02666666666666667,0.005773502691896256,0.20666666666666667,0.005773502691896247,2.2433333333333336,0.08082903768654762,0.07,0.0,2.1733333333333333,0.08082903768654762
balanced_low,FD001,gradient_boosting,20.0,mean,0.13,0.010000000000000009,0.016666666666666666,0.005773502691896258,0.04666666666666667,0.011547005383792512,0.12,0.010000000000000004,1.5636666666666665,0.14296857463559376,0.16,0.0,1.4036666666666668,0.14296857463559376
balanced_low,FD001,gradient_boosting,30.0,mean,0.23,0.0,0.006666666666666667,0.005773502691896258,0.02666666666666667,0.005773502691896256,0.02666666666666667,0.005773502691896256,0.6305333333333333,0.08706442059379552,0.25,0.0,0.38053333333333333,0.08706442059379552
balanced_low,FD001,gradient_boosting,50.0,mean,0.32666666666666666,0.0057735026918962545,0.02666666666666667,0.005773502691896256,0.03,0.0,0.0,0.0,0.4859333333333333,0.00981495457622367,0.33,0.0,0.15593333333333334,0.009814954576223634
balanced_low,FD001,gru,10.0,mean,0.06333333333333334,0.015275252316519468,0.006666666666666667,0.005773502691896258,0.013333333333333334,0.015275252316519466,0.18666666666666668,0.015275252316519463,1.9968000000000001,0.2103109126983192,0.07,0.0,1.9268,0.2103109126983192
balanced_low,FD001,gru,20.0,mean,0.15333333333333335,0.011547005383792499,0.023333333333333334,0.005773502691896256,0.03,0.010000000000000004,0.09999999999999999,0.010000000000000007,1.3049333333333333,0.14022001759140276,0.16,0.0,1.1449333333333334,0.14022001759140298
balanced_low,FD001,gru,30.0,mean,0.22,0.01732050807568877,0.016666666666666666,0.005773502691896258,0.04666666666666667,0.011547005383792512,0.04666666666666667,0.011547005383792512,0.9221333333333334,0.15542269246584725,0.25,0.0,0.6721333333333334,0.15542269246584725
balanced_low,FD001,gru,50.0,mean,0.31666666666666665,0.0057735026918962675,0.02,0.0,0.03333333333333333,0.005773502691896258,0.0,0.0,0.49113333333333337,0.023094010767585056,0.33,0.0,0.16113333333333335,0.02309401076758504
balanced_low,FD001,gru_safety_mse,10.0,mean,0.05333333333333334,0.025166114784235832,0.0033333333333333335,0.005773502691896258,0.02,0.02,0.19666666666666668,0.025166114784235832,2.1200666666666668,0.32593252880517065,0.07,0.0,2.0500666666666665,0.3259325288051703
balanced_low,FD001,gru_safety_mse,20.0,mean,0.13333333333333333,0.011547005383792528,0.013333333333333334,0.005773502691896258,0.04,0.010000000000000002,0.11666666666666665,0.01154700538379252,1.5002666666666666,0.14929170550748405,0.16,0.0,1.3402666666666665,0.14929170550748389
balanced_low,FD001,gru_safety_mse,30.0,mean,0.24333333333333332,0.005773502691896261,0.02,0.0,0.02666666666666667,0.005773502691896255,0.02666666666666667,0.005773502691896255,0.6457333333333333,0.08082903768654755,0.25,0.0,0.39573333333333327,0.0808290376865476
balanced_low,FD001,gru_safety_mse,50.0,mean,0.34,0.017320508075688777,0.023333333333333334,0.011547005383792516,0.013333333333333334,0.005773502691896257,0.0,0.0,0.4146666666666667,0.005311622476544605,0.33,0.0,0.08466666666666667,0.005311622476544552
balanced_low,FD001,lstm,10.0,mean,0.02666666666666667,0.015275252316519466,0.006666666666666667,0.005773502691896258,0.049999999999999996,0.009999999999999997,0.2233333333333333,0.015275252316519472,2.5101333333333335,0.18670836439038635,0.07,0.0,2.4401333333333333,0.18670836439038668
balanced_low,FD001,lstm,20.0,mean,0.14333333333333334,0.02516611478423584,0.006666666666666667,0.011547005383792516,0.023333333333333334,0.015275252316519466,0.10999999999999999,0.020000000000000004,1.3612666666666666,0.24878266284717948,0.16,0.0,1.2012666666666665,0.24878266284717934
balanced_low,FD001,lstm,30.0,mean,0.21666666666666667,0.02081665999466132,0.013333333333333334,0.005773502691896257,0.04666666666666667,0.015275252316519466,0.04666666666666667,0.015275252316519466,0.9185333333333333,0.2079716647366495,0.25,0.0,0.6685333333333333,0.20797166473664946
balanced_low,FD001,lstm,50.0,mean,0.32,0.010000000000000009,0.023333333333333334,0.005773502691896256,0.03333333333333333,0.005773502691896261,0.0,0.0,0.49466666666666664,0.018590678667905935,0.33,0.0,0.16466666666666666,0.018590678667905956
balanced_low,FD001,random_forest,10.0,mean,0.04666666666666667,0.005773502691896259,0.0,0.0,0.023333333333333334,0.005773502691896256,0.20333333333333334,0.005773502691896247,2.1966666666666668,0.08082903768654762,0.07,0.0,2.126666666666667,0.08082903768654762
balanced_low,FD001,random_forest,20.0,mean,0.12666666666666668,0.01527525231651947,0.013333333333333334,0.005773502691896258,0.04666666666666667,0.011547005383792512,0.12333333333333334,0.015275252316519475,1.5935999999999997,0.1928799626710872,0.16,0.0,1.4336,0.19287996267108715
balanced_low,FD001,random_forest,30.0,mean,0.20666666666666667,0.005773502691896239,0.01,0.0,0.05333333333333334,0.005773502691896255,0.05333333333333334,0.005773502691896255,1.0082666666666666,0.08082903768654762,0.25,0.0,0.7582666666666666,0.08082903768654755
balanced_low,FD001,random_forest,50.0,mean,0.3033333333333333,0.0057735026918962675,0.02,0.0,0.04666666666666667,0.005773502691896258,0.0,0.0,0.5474666666666667,0.023094010767585042,0.33,0.0,0.2174666666666666,0.02309401076758504
balanced_low,FD001,ridge,10.0,mean,0.06666666666666667,0.005773502691896261,0.0,0.0,0.0033333333333333335,0.005773502691896258,0.18333333333333335,0.005773502691896267,1.9166666666666667,0.0808290376865474,0.07,0.0,1.8466666666666667,0.08082903768654755
balanced_low,FD001,ridge,20.0,mean,0.10000000000000002,0.0,0.0,0.0,0.06,0.0,0.15,0.0,1.8999999999999997,0.0,0.16,0.0,1.74,0.0
balanced_low,FD001,ridge,30.0,mean,0.14,0.0,0.0,0.0,0.11,0.0,0.11,0.0,1.79,0.0,0.25,0.0,1.54,0.0
balanced_low,FD001,ridge,50.0,mean,0.26,0.010000000000000009,0.0,0.0,0.07,0.010000000000000005,0.0,0.0,0.61,0.040000000000000036,0.33,0.0,0.28,0.04000000000000002
balanced_low,FD001,tcn,10.0,mean,0.05333333333333334,0.02081665999466133,0.006666666666666667,0.005773502691896258,0.023333333333333334,0.015275252316519466,0.19666666666666666,0.020816659994661344,2.1368,0.26339073635950055,0.07,0.0,2.0668,0.2633907363595006
balanced_low,FD001,tcn,20.0,mean,0.15333333333333332,0.005773502691896261,0.013333333333333334,0.005773502691896258,0.02,0.0,0.10333333333333333,0.005773502691896256,1.2892000000000001,0.05618505139269698,0.16,0.0,1.1292,0.05618505139269697
balanced_low,FD001,tcn,30.0,mean,0.19666666666666668,0.005773502691896261,0.01,0.0,0.06333333333333334,0.005773502691896264,0.06333333333333334,0.005773502691896264,1.1482666666666665,0.08082903768654766,0.25,0.0,0.8982666666666667,0.08082903768654766
balanced_low,FD001,tcn,50.0,mean,0.30666666666666664,0.015275252316519486,0.02,0.0,0.043333333333333335,0.015275252316519466,0.006666666666666667,0.005773502691896258,0.5978,0.11135528725660042,0.33,0.0,0.2678,0.11135528725660043
balanced_low,FD002,gradient_boosting,10.0,mean,0.059202059202059204,0.004458303236985526,0.030888030888030892,0.0066874548554782896,0.056628056628056624,0.005897780817188986,0.17631917631917635,0.0044583032369855165,2.1084427284427285,0.053849161224637745,0.08494208494208494,0.0,2.0235006435006437,0.05384916122463791
balanced_low,FD002,gradient_boosting,20.0,mean,0.138996138996139,0.0038610038610038533,0.0038610038610038615,0.0,0.0694980694980695,0.003861003861003867,0.1003861003861004,0.0038610038610038585,1.4911969111969112,0.05405405405405411,0.20463320463320464,0.0,1.2865637065637066,0.054054054054054085
balanced_low,FD002,gradient_boosting,30.0,mean,0.2007722007722008,0.003861003861003874,0.01673101673101673,0.002229151618492763,0.05148005148005148,0.00445830323698553,0.05148005148005148,0.00445830323698553,0.9764736164736165,0.06304286704162335,0.23552123552123552,0.0,0.7409523809523809,0.0630428670416233
balanced_low,FD002,gradient_boosting,50.0,mean,0.30115830115830117,0.006687454855478277,0.02702702702702703,0.0,0.06563706563706563,0.006687454855478292,0.010296010296010296,0.002229151618492763,0.7360875160875162,0.04904133560684085,0.33976833976833976,0.0,0.3963191763191763,0.049041335606840805
balanced_low,FD002,gru,10.0,mean,0.06563706563706563,0.01769334245156695,0.01673101673101673,0.011145758092463817,0.036036036036036036,0.011795561634377966,0.16988416988416988,0.01769334245156694,1.9454568854568854,0.2085195084511514,0.08494208494208494,0.0,1.8605148005148004,0.20851950845115108
balanced_low,FD002,gru,20.0,mean,0.17631917631917635,0.0044583032369855165,0.006435006435006435,0.0022291516184927635,0.03474903474903475,0.0038610038610038602,0.06048906048906049,0.002229151618492764,0.9555469755469757,0.03549876184593661,0.20463320463320464,0.0,0.7509137709137709,0.03549876184593663
balanced_low,FD002,gru,30.0,mean,0.22908622908622908,0.004458303236985544,0.009009009009009009,0.002229151618492763,0.015444015444015443,0.003861003861003861,0.015444015444015443,0.003861003861003861,0.4614414414414414,0.054124682667733244,0.23552123552123552,0.0,0.22592020592020592,0.05412468266773319
balanced_low,FD002,gru,50.0,mean,0.32175032175032175,0.02512126292914172,0.023166023166023165,0.01337490971095658,0.04118404118404118,0.014617524699614609,0.001287001287001287,0.002229151618492764,0.5457657657657657,0.07228023349548536,0.33976833976833976,0.0,0.205997425997426,0.07228023349548537
balanced_low,FD002,gru_safety_mse,10.0,mean,0.09137709137709138,0.012411390940788873,0.028314028314028312,0.004458303236985529,0.02187902187902188,0.0080373204612592,0.14414414414414414,0.012411390940788868,1.6436293436293437,0.15141415842839598,0.08494208494208494,0.0,1.5586872586872584,0.15141415842839612
balanced_low,FD002,gru_safety_mse,20.0,mean,0.19433719433719432,0.008037320461259196,0.01287001287001287,0.0022291516184927643,0.023166023166023165,0.006687454855478291,0.04504504504504505,0.008037320461259202,0.7620849420849422,0.10493160089797317,0.20463320463320464,0.0,0.5574517374517375,0.10493160089797318
balanced_low,FD002,gru_safety_mse,30.0,mean,0.24839124839124838,0.008037320461259203,0.02059202059202059,0.0080373204612592,0.007722007722007723,0.0,0.007722007722007723,0.0,0.3673101673101673,0.009966277371961419,0.23552123552123552,0.0,0.13178893178893178,0.009966277371961398
balanced_low,FD002,gru_safety_mse,50.0,mean,0.3732303732303732,0.014617524699614623,0.05148005148005148,0.012411390940788872,0.018018018018018018,0.004458303236985526,0.0,0.0,0.47788931788931793,0.020183906230225437,0.33976833976833976,0.0,0.13812097812097812,0.020183906230225465
balanced_low,FD002,random_forest,10.0,mean,0.05148005148005148,0.004458303236985533,0.014157014157014156,0.0022291516184927635,0.047619047619047616,0.002229151618492765,0.18404118404118405,0.004458303236985544,2.1307335907335907,0.05109215509585407,0.08494208494208494,0.0,2.045791505791506,0.05109215509585397
balanced_low,FD002,random_forest,20.0,mean,0.17117117117117117,0.002229151618492775,0.005148005148005148,0.002229151618492764,0.03861003861003861,0.0038610038610038602,0.06435006435006435,0.002229151618492761,1.008108108108108,0.03821512319868435,0.20463320463320464,0.0,0.8034749034749035,0.03821512319868433
balanced_low,FD002,random_forest,30.0,mean,0.21235521235521235,0.0,0.001287001287001287,0.002229151618492764,0.02445302445302445,0.0022291516184927656,0.02445302445302445,0.0022291516184927656,0.5793050193050193,0.033704772471610626,0.23552123552123552,0.0,0.3437837837837838,0.033704772471610585
balanced_low,FD002,random_forest,50.0,mean,0.3088803088803089,0.006687454855478277,0.032175032175032175,0.002229151618492763,0.06306306306306307,0.00589778081718898,0.007722007722007723,0.0,0.709111969111969,0.023220913092466218,0.33976833976833976,0.0,0.3693436293436294,0.023220913092466273
balanced_low,FD002,ridge,10.0,mean,0.07850707850707851,0.002229151618492766,0.036036036036036036,0.002229151618492764,0.04247104247104247,0.0,0.157014157014157,0.002229151618492761,1.8647619047619048,0.019973198501695228,0.08494208494208494,0.0,1.7798198198198196,0.019973198501695228
balanced_low,FD002,ridge,20.0,mean,0.12483912483912485,0.0022291516184927583,0.007722007722007723,0.0,0.08751608751608753,0.002229151618492766,0.11068211068211069,0.0022291516184927583,1.66993564993565,0.031208122658898642,0.20463320463320464,0.0,1.4653024453024452,0.031208122658898642
balanced_low,FD002,ridge,30.0,mean,0.17374517374517376,0.0,0.007722007722007723,0.0,0.0694980694980695,0.0,0.0694980694980695,0.0,1.2167567567567568,0.0,0.23552123552123552,0.0,0.9812355212355212,0.0
balanced_low,FD002,ridge,50.0,mean,0.25868725868725867,0.0,0.0038610038610038615,0.0,0.08494208494208494,0.0,0.007722007722007723,0.0,0.7608494208494209,0.0,0.33976833976833976,0.0,0.42108108108108117,0.0
balanced_low,FD002,tcn,10.0,mean,0.0501930501930502,0.034317352962608454,0.01673101673101673,0.022291516184927633,0.05148005148005148,0.013559399939321412,0.18532818532818532,0.03431735296260843,2.1623938223938226,0.3710598913543873,0.08494208494208494,0.0,2.0774517374517374,0.37105989135438716
balanced_low,FD002,tcn,20.0,mean,0.1866151866151866,0.019045879777282806,0.01287001287001287,0.005897780817188983,0.030888030888030885,0.013921047395613858,0.05148005148005148,0.014617524699614607,0.8573487773487773,0.19506764120282707,0.20463320463320464,0.0,0.6527155727155728,0.19506764120282696
balanced_low,FD002,tcn,30.0,mean,0.23423423423423426,0.015604061329449347,0.010296010296010296,0.008037320461259198,0.011583011583011582,0.007722007722007722,0.011583011583011582,0.007722007722007722,0.4091891891891892,0.09899550653638792,0.23552123552123552,0.0,0.17366795366795365,0.09899550653638794
balanced_low,FD002,tcn,50.0,mean,0.33204633204633205,0.013921047395613844,0.023166023166023165,0.01682972565073619,0.030888030888030892,0.0038610038610038633,0.0,0.0,0.49083655083655087,0.035538046494806554,0.33976833976833976,0.0,0.15106821106821106,0.0355380464948066
balanced_low,FD003,cnn,10.0,mean,0.03333333333333333,0.02081665999466133,0.006666666666666667,0.005773502691896258,0.03333333333333333,0.023094010767585032,0.16666666666666666,0.02081665999466132,1.8671999999999997,0.301448569411102,0.06,0.0,1.8072,0.301448569411102
balanced_low,FD003,cnn,20.0,mean,0.08333333333333333,0.01154700538379251,0.01,0.0,0.06666666666666667,0.011547005383792521,0.11666666666666665,0.011547005383792512,1.5843333333333334,0.16165807537309515,0.14,0.0,1.4443333333333335,0.16165807537309532
balanced_low,FD003,cnn,30.0,mean,0.15,0.009999999999999988,0.016666666666666666,0.005773502691896258,0.06666666666666667,0.005773502691896264,0.06666666666666667,0.005773502691896264,1.1508666666666667,0.07784814277382167,0.20000000000000004,0.0,0.9508666666666667,0.07784814277382172
balanced_low,FD003,cnn,50.0,mean,0.26666666666666666,0.0057735026918962675,0.043333333333333335,0.00577350269189626,0.06666666666666667,0.005773502691896261,0.03,0.0,0.9129999999999999,0.031030952289609094,0.29,0.0,0.6229999999999999,0.031030952289609157
balanced_low,FD003,gradient_boosting,10.0,mean,0.05333333333333334,0.005773502691896254,0.0033333333333333335,0.005773502691896258,0.01,0.0,0.14666666666666667,0.005773502691896247,1.5700666666666667,0.051846054173228615,0.06,0.0,1.5100666666666667,0.051846054173228615
balanced_low,FD003,gradient_boosting,20.0,mean,0.12666666666666668,0.011547005383792521,0.006666666666666667,0.005773502691896258,0.02,0.01,0.08,0.009999999999999995,1.0281333333333333,0.14017707848765193,0.14,0.0,0.8881333333333332,0.14017707848765196
