subset,setting,group,rmse_mean,rmse_std,mae_mean,score_mean,crit50_mean,over_mean
FD001,1D-CNN,main,22.466952413408745,1.1668559598681274,16.490486737887064,3867.76863092264,25.41495155197872,0.5633333333333334
FD001,Gradient Boosting,main,12.81370316322021,0.3764860391735424,9.829174018054887,247.4554490431981,5.60478798777412,0.6066666666666666
FD001,GRU,main,15.265829432813751,0.640211734092443,11.325909933249156,483.2332103379444,5.709739207785972,0.5866666666666666
FD001,GRU safety-w2,main,14.964994790034952,0.8766248353473366,10.591763962904611,421.193736071164,4.863028563746762,0.4666666666666666
FD001,LSTM,main,15.5989004903252,0.5103607652662518,11.449461348851523,563.5692376024285,6.521910876814658,0.6266666666666666
FD001,Random Forest,main,13.010306741015947,0.5729857815387652,9.623472574185074,258.65491990326285,6.205035233290637,0.6166666666666667
FD001,Ridge,main,16.921573384483438,0.113258748280867,13.332134583791095,510.3215319635082,16.677946887557425,0.58
FD003,1D-CNN,main,23.7596412252288,0.4219246169696584,17.2504497440656,3533.324652414005,24.90856185287316,0.57
FD003,Gradient Boosting,main,13.208707858844647,0.3543701189857057,9.665715598304857,311.84973003426376,5.533076019549712,0.5733333333333334
FD003,GRU,main,15.236428706802808,1.4451000570540269,10.554368959267936,622.2669961325004,6.19417302061408,0.5533333333333333
FD003,GRU safety-w2,main,15.989394027891764,2.6091725290242818,11.993748893737791,608.3093418974277,7.57426681233646,0.43
FD003,LSTM,main,14.41224642349676,1.566897819329499,10.21755619208018,550.2587094576205,5.091451109551976,0.5066666666666667
FD003,Random Forest,main,13.984279126470726,0.2486231299102337,10.139146258278757,343.89594227388466,4.761971324153413,0.5833333333333334
FD003,Ridge,main,18.020317442823305,0.3709925651838639,14.904038047790529,627.3054075078571,15.87434888090629,0.6
FD001,GRU safety-w1.5,focused,13.985133994239002,0.2629196126522397,10.006996410687764,312.81602255173084,4.9377435430290255,0.5633333333333334
FD003,GRU hidden128,focused,14.3481140254258,1.4831599961224762,10.484227195779482,407.6511475869918,5.976863296334964,0.5766666666666667
FD003,GRU safety-w1.5,focused,14.067125375926096,1.2369672473823714,9.960417887369792,413.73795031465005,5.246848618549292,0.4366666666666667
FD003,GRU window50,focused,12.956545819038721,0.4833873968320589,9.300007712046305,319.9586834271468,5.5041450366446805,0.5333333333333333
