subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy
FD001,lstm,43,30,130,y_pred,10.0,0.01,0.0,0.06,0.24,5.41,0.07,5.34,mean
FD001,lstm,43,30,130,y_pred,20.0,0.12,0.0,0.04,0.13,3.12,0.16,2.96,mean
FD001,lstm,43,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean
FD001,lstm,43,30,130,y_pred,50.0,0.33,0.03,0.03,0.0,0.6416,0.33,0.3116,mean
FD001,lstm,44,30,130,y_pred,10.0,0.03,0.01,0.05,0.22,4.9302,0.07,4.8602,mean
FD001,lstm,44,30,130,y_pred,20.0,0.17,0.02,0.01,0.09,2.0738,0.16,1.9138,mean
FD001,lstm,44,30,130,y_pred,30.0,0.21,0.01,0.05,0.05,1.7116,0.25,1.4616,mean
FD001,lstm,44,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6278,0.33,0.29779999999999995,mean
FD001,random_forest,42,30,130,y_pred,10.0,0.05,0.0,0.02,0.2,4.25,0.07,4.18,mean
FD001,random_forest,42,30,130,y_pred,20.0,0.13,0.01,0.04,0.12,2.9301999999999997,0.16,2.7702,mean
FD001,random_forest,42,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean
FD001,random_forest,42,30,130,y_pred,50.0,0.3,0.02,0.05,0.0,0.8108,0.33,0.4808,mean
FD001,random_forest,43,30,130,y_pred,10.0,0.05,0.0,0.02,0.2,4.25,0.07,4.18,mean
FD001,random_forest,43,30,130,y_pred,20.0,0.11,0.01,0.06,0.14,3.5101999999999998,0.16,3.3501999999999996,mean
FD001,random_forest,43,30,130,y_pred,30.0,0.21,0.01,0.05,0.05,1.7116,0.25,1.4616,mean
FD001,random_forest,43,30,130,y_pred,50.0,0.31,0.02,0.04,0.0,0.7208,0.33,0.3908,mean
FD001,random_forest,44,30,130,y_pred,10.0,0.04,0.0,0.03,0.21,4.54,0.07,4.47,mean
FD001,random_forest,44,30,130,y_pred,20.0,0.14,0.02,0.04,0.11,2.7403999999999997,0.16,2.5804,mean
FD001,random_forest,44,30,130,y_pred,30.0,0.21,0.01,0.05,0.05,1.7116,0.25,1.4616,mean
FD001,random_forest,44,30,130,y_pred,50.0,0.3,0.02,0.05,0.0,0.8108,0.33,0.4808,mean
FD001,ridge,42,30,130,y_pred,10.0,0.07,0.0,0.0,0.18,3.67,0.07,3.6,mean
FD001,ridge,42,30,130,y_pred,20.0,0.1,0.0,0.06,0.15,3.7,0.16,3.54,mean
FD001,ridge,42,30,130,y_pred,30.0,0.14,0.0,0.11,0.11,3.44,0.25,3.19,mean
FD001,ridge,42,30,130,y_pred,50.0,0.25,0.0,0.08,0.0,1.05,0.33,0.72,mean
FD001,ridge,43,30,130,y_pred,10.0,0.07,0.0,0.0,0.18,3.67,0.07,3.6,mean
FD001,ridge,43,30,130,y_pred,20.0,0.1,0.0,0.06,0.15,3.7,0.16,3.54,mean
FD001,ridge,43,30,130,y_pred,30.0,0.14,0.0,0.11,0.11,3.44,0.25,3.19,mean
FD001,ridge,43,30,130,y_pred,50.0,0.27,0.0,0.06,0.0,0.87,0.33,0.54,mean
FD001,ridge,44,30,130,y_pred,10.0,0.06,0.0,0.01,0.19,3.96,0.07,3.89,mean
FD001,ridge,44,30,130,y_pred,20.0,0.1,0.0,0.06,0.15,3.7,0.16,3.54,mean
