subset,feature,importance_mean,importance_std
FD001,sensor_3_mean,0.38555262263479045,0.21736327896808277
FD001,sensor_17_mean,0.18229981507552703,0.24744441599011952
FD001,sensor_11_slope,0.12196437477233353,0.008951429534493778
FD001,sensor_2_mean,0.03962472801331339,0.04194156467302448
FD001,sensor_14_slope,0.03785938125171253,0.012087444597332051
FD001,sensor_12_slope,0.03139796203900103,0.00423881358558982
FD001,sensor_9_slope,0.02006065888521888,0.01126802820801128
FD001,sensor_13_slope,0.015604468023524694,0.004150146841251264
FD001,sensor_8_slope,0.012444836571701567,0.004789685425852993
FD001,sensor_4_slope,0.011803575155745927,0.004953457703741651
FD001,sensor_4_mean,0.008064607856088318,0.003931486562541981
FD001,sensor_20_mean,0.006889183810890045,0.0014088944358729085
FD001,sensor_7_slope,0.006667594491176109,0.0009753414043423449
FD001,sensor_7_mean,0.006665572867205846,0.002854230770352311
FD001,sensor_15_slope,0.006076163862955165,0.0009929301038202596
FD001,sensor_15_mean,0.006039779692013696,0.0020545841733697746
FD001,sensor_14_mean,0.005920610530052443,0.002070261072735966
FD001,sensor_9_std,0.005919416059572767,0.002525638901872173
FD001,sensor_21_mean,0.005909169811315322,0.0032919569460064186
FD001,sensor_9_mean,0.005074150416119058,0.00028383733926170526
FD001,sensor_2_slope,0.0042649973039895804,8.43822953885593e-05
FD001,sensor_14_std,0.0037821582498723514,0.00025754290952032704
FD001,sensor_20_slope,0.0037674888072257787,0.0010451982886593694
FD001,sensor_11_mean,0.0036280680867904064,0.0019245354381347733
FD001,sensor_21_slope,0.0033037160905602836,0.001121667006570302
FD001,sensor_8_std,0.0031084713459372006,0.00023145778132502298
FD001,setting_2_mean,0.003046001301496328,0.000822770730624581
FD001,sensor_7_std,0.0028818625447658112,7.433196722745342e-05
FD001,sensor_12_mean,0.0026186403283970407,0.001921285357221275
FD001,sensor_8_mean,0.0025988651941687836,0.0007260373248562177
FD001,sensor_13_mean,0.0025630255078048863,0.0009822258775389228
FD001,sensor_13_std,0.0024558767998341647,0.0006410346219506429
FD001,sensor_20_std,0.0023962942343070765,0.00020587224022744195
FD001,sensor_17_slope,0.00237884301379832,0.00014800635661764165
FD001,sensor_4_std,0.0023268388530351806,0.0001856144388117249
FD001,setting_1_mean,0.002293577728236941,0.00016692519159084712
FD001,setting_1_std,0.002266620623528314,0.00021725113175781637
FD001,sensor_15_std,0.002099701895677326,0.0005291181841144537
FD001,sensor_11_std,0.0020957376639510763,9.974868951766544e-05
FD001,sensor_21_std,0.002043086194561165,0.00027426476111730024
FD001,sensor_12_std,0.002042510505055103,0.0001964861644556648
FD001,sensor_3_std,0.0020045156643847466,0.0002781291652328532
FD001,sensor_2_std,0.001987484885230524,0.0003767137010811669
FD001,sensor_3_slope,0.001809929283226721,0.00014901353719949775
FD001,setting_2_std,0.0017624122812091444,0.000148563184099464
FD001,sensor_17_std,0.0017506961874406205,0.00025234313479283486
FD001,sensor_9_last,0.0009369415320077267,0.00016951766061588805
FD001,setting_1_slope,0.0009278378141140946,6.0745160983645755e-05
FD001,sensor_14_last,0.0009213763972519496,0.00027590928310257054
FD001,setting_2_slope,0.000911725552087661,5.033521692409366e-05
FD001,sensor_4_last,0.0004205416015827796,0.00017167020950176393
FD001,sensor_14_delta,0.00033672187473345803,3.9190859091422474e-05
FD001,sensor_12_last,0.00029926155807430437,3.043493956310872e-05
FD001,sensor_11_last,0.00029871119885238893,6.657319661932442e-05
FD001,sensor_15_last,0.000278399448938882,1.0875714376747119e-05
FD001,sensor_9_delta,0.00027165005311510993,7.398775256217345e-06
FD001,sensor_21_last,0.0002654569650303584,2.3437008686541825e-05
FD001,sensor_7_last,0.00026150939743084674,4.2365362467896476e-05
FD001,sensor_2_delta,0.0002513747647594901,1.2423767421718361e-05
FD001,sensor_2_last,0.0002479754506517805,3.597153597858173e-05
FD001,sensor_7_delta,0.0002471014359049745,3.255584975695805e-05
FD001,sensor_15_delta,0.00024608959094426494,7.685111544415215e-06
FD001,sensor_6_slope,0.0002441522421442694,3.469325097997942e-05
FD001,sensor_4_delta,0.0002256842546422567,1.8905636356246614e-05
FD001,sensor_3_delta,0.00022449695060210815,6.17992539293948e-06
FD001,sensor_21_delta,0.0002238096211248283,1.500219502156383e-05
