subset,job_name,rmse_mean,rmse_std,mae_mean,mae_std,nasa_per_engine_mean,nasa_per_engine_std,critical_rmse_30_mean,critical_rmse_30_std,critical_rmse_50_mean,critical_rmse_50_std,overestimation_ratio_mean,overestimation_ratio_std,overestimation_magnitude_mean,overestimation_magnitude_std,sarbi_mean,sarbi_std,label
FD001,asymmetric_w2_h64_l1_w30,14.641811743829976,0.589963453335692,10.357998168468475,0.21944434074401933,4.382608012837028,1.030504535206342,4.298576311202883,0.32312974932357563,5.404353597936655,0.1425046274549267,0.49,0.04000000000000003,4.950501268704732,0.6655023619069305,0.7942025515511135,0.04590059729017842,Asymmetric w2
FD001,asymmetric_w3_h64_l1_w30,15.54424773575908,0.7630645955813398,11.096569702625274,0.7219882515893835,3.28270654154428,0.33744006938177384,3.8320901659518873,0.3982503934752693,5.18095826673837,0.5036034811211458,0.4066666666666667,0.07371114795831994,3.048108476003011,0.417243202870067,0.7128916709546149,0.03533766163751097,Asymmetric w3
FD001,baseline_lr1e-3_h64_l1_w30,15.741252434032234,0.44232430905004033,11.746067522366841,0.3323615997653195,4.96813530621069,0.7805234991859209,6.1652582700095495,0.4825183836672568,6.764038826816647,0.4333383876463078,0.62,0.017320508075688787,7.204026590983072,0.9666111745484147,0.9737470398358689,0.04338756000346177,Baseline GRU
FD001,critical_w2_h64_l1_w30,15.345676782145544,0.35505591131375325,11.238512358665467,0.1521896019793886,4.980606258314289,0.7733565642804976,4.294827741622606,0.5003295231718415,5.319872359649782,0.7829611939095893,0.6033333333333334,0.015275252316519468,6.974038283030192,0.6700897461400291,0.8668583308206544,0.06216567011487438,Critical w2
FD001,critical_w3_h64_l1_w30,14.720394201921353,0.27271738556394814,10.670297949314119,0.2749231432370554,4.24603118978109,0.3294951408209485,3.76357323679504,0.4902965636123759,5.265333026142923,0.5311216615912441,0.5633333333333334,0.040414518843273795,6.442070328394571,0.5793963974025613,0.8016211894629176,0.028303462316188948,Critical w3
FD001,safety_w1p5_h64_l1_w30,14.666065076380216,0.21419485291866988,10.7196373407046,0.13479312649170497,3.53841720930931,0.5372104679049308,5.025586532646869,0.5051824847319256,5.42249118900729,0.8749306254082797,0.5433333333333333,0.02081665999466135,5.214537906646728,0.6932720485602467,0.8028316274758946,0.04718672025002389,Safety w1.5
FD001,safety_w2_h64_l1_w30,15.179654575013275,1.0608689081359188,10.633024258613586,0.8214045543289755,3.5632845521526035,0.6554107453252329,4.603661371158121,1.8177695868127564,5.282265637796311,1.4840259682133092,0.37666666666666665,0.0680685928555405,3.4542417081197105,0.45594905492043736,0.7375714366337819,0.10784161876259245,Safety w2
FD001,safety_w3_h64_l1_w30,15.025683042613815,0.5432449449140246,10.7156156539917,0.5012254505108672,3.2343992750071258,0.4304277249991269,3.6954715216483915,0.8336946832614998,5.030089096254616,0.3215923485553639,0.3466666666666667,0.0208166599946613,2.9505896218617758,0.3997015818512597,0.6845406851985899,0.05870055474480396,Safety w3
FD002,asymmetric_w2_h64_l1_w30,19.633140066153583,1.3510741167184492,14.8714292427978,1.1626786173924553,6.117212287334528,0.40223601884630056,5.903819267891708,0.5414226795217935,9.468510564071053,1.9754491440658322,0.32947232947232946,0.04524683611646573,3.8835292077279306,1.2143144758417588,0.918985365615029,0.05037940126934834,Asymmetric w2
FD002,asymmetric_w3_h64_l1_w30,21.962819111231557,1.581715596551299,16.585938826337593,1.3405394900033583,8.22536282169247,1.2500356709173133,5.673603202403419,0.5340595870999267,9.24792420589554,0.18401314629488105,0.25611325611325614,0.037500134580008934,2.5618859687520428,0.6719886583076687,0.9385937621305969,0.013748807468253155,Asymmetric w3
FD002,baseline_lr1e-3_h64_l1_w30,18.759673300505202,0.5765747269247852,14.033959523284452,0.43887105998739784,6.82350638343556,0.6271129088666412,6.3102857879359044,0.7226393182066095,9.265037912381013,1.8314052314984879,0.40411840411840405,0.015604061329449323,5.278550279953612,0.4876384242325572,0.9700891261492295,0.05500348175908532,Baseline GRU
FD002,critical_w2_h64_l1_w30,18.33856789307415,1.179161676889499,13.84112859999658,0.9955687092355866,6.311536115944648,0.955365408724566,5.993699640935293,0.5290602490727273,9.451298060004147,1.0085590367858555,0.4015444015444016,0.051944494390245996,5.310405435402575,0.6931554152320979,0.9467429715090905,0.04937758398898593,Critical w2
FD002,critical_w3_h64_l1_w30,19.04950516350309,1.1937629986583556,14.026906138681538,0.9671464985788826,6.205572905460674,0.6985789685811489,5.512049424397756,0.43362748574650456,7.896798099291428,0.2503919792843116,0.39253539253539255,0.06476059524020143,4.361119817122529,0.7315824859051838,0.8945750510080944,0.0066103227268706315,Critical w3
FD002,safety_w1p5_h64_l1_w30,19.27038656870899,0.5810990713175374,14.528166450128593,0.6732436675408999,6.129322737039374,0.23918139492963716,5.717838674597593,0.6669924904287023,8.953498994443688,1.3600667216806244,0.3603603603603604,0.019813132970837373,4.376704445523491,0.4329661490031626,0.9193397850684814,0.04869560580955179,Safety w1.5
FD002,safety_w2_h64_l1_w30,21.11886862759435,0.5220302955348644,15.681286728136634,0.6798110904747985,7.896858847771964,1.3125143036018339,5.244016001831441,0.6914146905903316,8.18036948794117,1.0352392452448735,0.3217503217503217,0.04827541655987399,3.0275246860744716,0.5774906979832548,0.9167540444655113,0.018135304345440004,Safety w2
