subset,model,lead_time,policy,maintenance_rate_mean,maintenance_rate_std,early_maintenance_rate_mean,early_maintenance_rate_std,late_maintenance_rate_mean,late_maintenance_rate_std,missed_critical_rate_mean,missed_critical_rate_std,expected_cost_mean,expected_cost_std,oracle_expected_cost_mean,oracle_expected_cost_std,decision_regret_mean,decision_regret_std
FD001,ridge,10.0,mean,0.06666666666666667,0.005773502691896261,0.0,0.0,0.0033333333333333335,0.005773502691896258,0.18333333333333335,0.005773502691896267,3.766666666666667,0.16743157806499148,0.07,0.0,3.6966666666666668,0.16743157806499148
FD001,tcn,20.0,mean,0.15333333333333332,0.005773502691896261,0.013333333333333334,0.005773502691896258,0.02,0.0,0.10333333333333333,0.005773502691896256,2.4225333333333334,0.11371056825701555,0.16,0.0,2.2625333333333333,0.1137105682570154
FD001,gradient_boosting,30.0,mean,0.23,0.0,0.006666666666666667,0.005773502691896258,0.02666666666666667,0.005773502691896256,0.02666666666666667,0.005773502691896256,1.0305333333333333,0.17366696097223946,0.25,0.0,0.7805333333333334,0.17366696097223946
FD001,gru_safety_mse,50.0,mean,0.34,0.017320508075688777,0.023333333333333334,0.011547005383792516,0.013333333333333334,0.005773502691896257,0.0,0.0,0.48133333333333334,0.034179135936025846,0.33,0.0,0.15133333333333332,0.03417913593602583
FD002,gru_safety_mse,10.0,mean,0.09137709137709138,0.012411390940788873,0.028314028314028312,0.004458303236985529,0.02187902187902188,0.0080373204612592,0.14414414414414414,0.012411390940788868,3.1944658944658944,0.3156013211865495,0.08494208494208494,0.0,3.1095238095238096,0.3156013211865499
FD002,gru_safety_mse,20.0,mean,0.19433719433719432,0.008037320461259196,0.01287001287001287,0.0022291516184927643,0.023166023166023165,0.006687454855478291,0.04504504504504505,0.008037320461259202,1.3283655083655084,0.2180472022756955,0.20463320463320464,0.0,1.123732303732304,0.21804720227569568
FD002,gru_safety_mse,30.0,mean,0.24839124839124838,0.008037320461259203,0.02059202059202059,0.0080373204612592,0.007722007722007723,0.0,0.007722007722007723,0.0,0.4831402831402831,0.009966277371961409,0.23552123552123552,0.0,0.24761904761904763,0.009966277371961436
FD002,gru_safety_mse,50.0,mean,0.3732303732303732,0.014617524699614623,0.05148005148005148,0.012411390940788872,0.018018018018018018,0.004458303236985526,0.0,0.0,0.5679794079794079,0.038750349940465514,0.33976833976833976,0.0,0.2282110682110682,0.03875034994046557
FD003,tcn,10.0,mean,0.09333333333333334,0.020816659994661327,0.03666666666666667,0.023094010767585032,0.0033333333333333335,0.005773502691896258,0.11,0.017320508075688773,2.3322666666666665,0.296257275578733,0.06,0.0,2.2722666666666664,0.296257275578733
FD003,tcn,20.0,mean,0.1466666666666667,0.011547005383792521,0.02,0.01,0.013333333333333334,0.005773502691896258,0.056666666666666664,0.005773502691896255,1.4163333333333332,0.14023656204190593,0.14,0.0,1.2763333333333333,0.14023656204190596
FD003,gru_safety_mse,30.0,mean,0.20333333333333334,0.011547005383792512,0.016666666666666666,0.005773502691896258,0.013333333333333334,0.015275252316519466,0.013333333333333334,0.015275252316519466,0.6044666666666667,0.44745057082691636,0.20000000000000004,0.0,0.4044666666666667,0.4474505708269164
FD003,lstm,50.0,mean,0.29666666666666663,0.0057735026918962675,0.01,0.0,0.0033333333333333335,0.005773502691896258,0.0,0.0,0.33159999999999995,0.0519615242270663,0.29,0.0,0.0416,0.05196152422706632
FD004,ridge,10.0,mean,0.044354838709677415,0.006984075836971278,0.022849462365591395,0.006159375934080428,0.03494623655913979,0.0023280252789904285,0.1693548387096774,0.006984075836971294,3.7830913978494625,0.1450061970161398,0.056451612903225805,0.0,3.7266397849462365,0.1450061970161397
FD004,gru_safety_mse,20.0,mean,0.14650537634408603,0.02220794575518589,0.025537634408602152,0.010147626929127353,0.04032258064516129,0.01209677419354839,0.07661290322580645,0.01847812780224129,2.0854032258064517,0.46501662245249675,0.16129032258064516,0.0,1.9241129032258062,0.46501662245249686
FD004,gru_safety_mse,30.0,mean,0.21505376344086022,0.020295253858254703,0.03225806451612903,0.010668352060744317,0.030913978494623656,0.010147626929127353,0.030913978494623656,0.010147626929127353,1.1498387096774192,0.2804911400679312,0.21370967741935484,0.0,0.9361290322580644,0.28049114006793097
FD004,tcn,50.0,mean,0.3118279569892473,0.004656050557980849,0.022849462365591395,0.002328025278990425,0.033602150537634407,0.002328025278990426,0.004032258064516129,0.0,0.736505376344086,0.01697697171185222,0.3225806451612903,0.0,0.41392473118279566,0.016976971711852182
