subset,model_a,model_b,n_engine_seed_pairs,rmse_diff_a_minus_b,ci95_low,ci95_high
FD003,GRU window50,Gradient Boosting,300,-0.24932069366820464,-1.4533258939880216,1.0028437405242616
FD001,GRU safety-w1.5,Gradient Boosting,300,1.1693916181735187,0.20824850956616242,2.1665414503600022
