subset,split,model,job_name,seed,window_size,max_rul,hidden_size,num_layers,dropout,learning_rate,scheduler,loss,critical_threshold,critical_weight,over_weight,rmse,mae,nasa_s_score,critical_rmse_30,critical_rmse_50,overestimation_ratio,overestimation_magnitude,source_file,n_test_engines,nasa_per_engine,rmse_ref,mae_ref,nasa_per_engine_ref,critical_rmse_30_ref,critical_rmse_50_ref,overestimation_ratio_ref,overestimation_magnitude_ref,z_rmse,z_mae,z_nasa_per_engine,z_critical_rmse_30,z_critical_rmse_50,z_overestimation_ratio,z_overestimation_magnitude,sarbi_accuracy_log,sarbi_critical_log,sarbi_risk_log,sarbi_log,sarbi,job_label
FD001,test,gru_asymmetric_mse,asymmetric_w2_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,2.0,13.963415919518749,10.19312361240387,319.408691579604,4.563871568178312,5.531061916131596,0.45,4.184139909744263,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\asymmetric_w2_h64_l1_w30\metrics.csv,100.0,3.1940869157960403,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.12154052774755018,-0.15201295359119976,-0.5261925449255537,-0.3302832519537327,-0.215911810084011,-0.3364722359862922,-0.5413796735676101,-0.13677674066937498,-0.27309753101887185,-0.4825592498512524,-0.2974778405131664,0.7426890406464552,Asymmetric w2
FD001,test,gru_asymmetric_mse,asymmetric_w3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,3.0,15.800604258669589,11.161627020835876,326.40898533229193,3.571025508314202,5.346244365967202,0.38,2.626156997680664,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\asymmetric_w3_h64_l1_w30\metrics.csv,100.0,3.2640898533229192,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,0.0020668949883927775,-0.06124455417389977,-0.5045128412494615,-0.5756017315359412,-0.24989730868098636,-0.5055485656208694,-1.0071592789026005,-0.029588829592753496,-0.4127495201084638,-0.6304333817555983,-0.3575905771522718,0.699359350095447,Asymmetric w3
FD001,test,gru,baseline_lr1e-3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,mse,50.0,2.0,2.0,16.16960702341336,12.001358976364136,540.5915444502331,5.617665969116144,6.289452091530621,0.63,7.189925708770752,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\baseline_lr1e-3_h64_l1_w30\metrics.csv,100.0,5.40591544450233,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,0.025152081940210916,0.011293600501844829,0.0,-0.1225382737550189,-0.08741767638508278,0.0,0.0,0.018222841221027873,-0.10497797507005084,0.0,-0.02891837794967432,0.9714957567061083,Baseline GRU
FD001,test,gru_critical_mse,critical_w2_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,critical_mse,50.0,2.0,2.0,15.742612124278052,11.396723914146424,454.5178003645247,3.904121384925572,4.574091796389057,0.6,6.290533447265625,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\critical_w2_h64_l1_w30\metrics.csv,100.0,4.545178003645247,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.001610104783804263,-0.040400352752005465,-0.17342691506939806,-0.48642178281410736,-0.4058834708085254,-0.04879016409006701,-0.13363496318004703,-0.021005228767904865,-0.4461526268113164,-0.13231973935222754,-0.19982586497714958,0.8188733351902868,Critical w2
FD001,test,gru_critical_mse,critical_w3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,critical_mse,50.0,3.0,2.0,15.034046190591097,10.958734803199768,417.3476156240822,3.811209181359369,4.79554639506626,0.54,5.997777099609375,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\critical_w3_h64_l1_w30\metrics.csv,100.0,4.173476156240822,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.04766391337043308,-0.0795894537043239,-0.2587445074710847,-0.5105080341027507,-0.35860398254111236,-0.15415067956270795,-0.18129192189115506,-0.06362668353737849,-0.43455600832193153,-0.21323290409900808,-0.23713853198610602,0.7888819950579204,Critical w3
FD001,test,gru_safety_mse,safety_w1p5_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,safety_mse,50.0,1.5,1.5,14.910332582446122,10.855693755149842,313.3805896749288,4.52477967540161,4.717846074621988,0.52,4.4661174011230464,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\safety_w1p5_h64_l1_w30\metrics.csv,100.0,3.133805896749288,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.055926854002110865,-0.08903657849292654,-0.5452455992038461,-0.3388856579194389,-0.37493928006542837,-0.19189100747432997,-0.4761613981881504,-0.0724817162475187,-0.3569124689924337,-0.43963590101754313,-0.2896766954191652,0.7485055237282934,Safety w1.5
FD001,test,gru_safety_mse,safety_w2_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,safety_mse,50.0,2.0,2.0,14.461382770705288,10.127872638702392,292.03603534772503,3.3401147465362904,4.223524055682845,0.43,3.099155998229981,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\safety_w2_h64_l1_w30\metrics.csv,100.0,2.92036035347725,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.08649944907199514,-0.1584350007338756,-0.6157867891368929,-0.6424493816396722,-0.48562177151671115,-0.3819346099596905,-0.841551023132403,-0.12246722490293536,-0.5640355765781917,-0.6137648028414698,-0.43342253477419895,0.6482865103314432,Safety w2
FD001,test,gru_safety_mse,safety_w3_h64_l1_w30,42,30,130,64,1,0.2,0.001,none,safety_mse,50.0,3.0,3.0,14.893563947488776,10.445845835208893,296.051094972052,3.01053177584771,4.679647141829049,0.37,2.492733335494995,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_42\safety_w3_h64_l1_w30\metrics.csv,100.0,2.96051094972052,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.05705211872773348,-0.1275219192474996,-0.6021319349445875,-0.7463378103823883,-0.3830689253418802,-0.532216812631907,-1.0593010053250362,-0.09228701898761653,-0.5647033678621343,-0.6989454219615296,-0.45197860293709347,0.6363677859809609,Safety w3
FD001,test,gru_asymmetric_mse,asymmetric_w2_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,2.0,14.927239725358955,10.607073090076447,502.6896538502359,4.393143679728289,5.43191874603642,0.49,5.382784843444824,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_43\asymmetric_w2_h64_l1_w30\metrics.csv,100.0,5.026896538502359,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.05479357515845694,-0.11220523965413887,-0.0726910033340465,-0.3684094723847101,-0.23399920365693108,-0.2513144278273913,-0.2894749699126333,-0.08349940740629791,-0.3012043380208206,-0.17154285110202938,-0.18541553217638262,0.8307590050224556,Asymmetric w2
FD001,test,gru_asymmetric_mse,asymmetric_w3_h64_l1_w30,43,30,130,64,1,0.2,0.001,none,asymmetric_mse,50.0,2.0,3.0,14.686015656492676,10.34425448179245,295.4960194819589,3.6347699222589447,4.6154831083649945,0.49,3.460478363037109,D:\Beihang\Cmaps_RULE\reports\tables\deep_ablations\fd001\seed_43\asymmetric_w3_h64_l1_w30\metrics.csv,100.0,2.954960194819589,15.76797979619515,11.86658290863037,5.40591544450233,6.349998288839378,6.864008739704783,0.63,7.189925708770752,-0.07108556341633114,-0.13729504784938928,-0.6040086262148376,-0.5579087294450057,-0.39687509070227467,-0.2513144278273913,-0.7312740042262951,-0.10419030563286022,-0.4773919100736402,-0.5476514211208404,-0.3764112122757802,0.6863200517771132,Asymmetric w3
