subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy,cost_scenario,preventive_cost,early_cost_per_cycle,late_cost,missed_critical_cost,critical_threshold
FD001,gru,44,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6278,0.33,0.2978,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,42,30,130,y_pred,10.0,0.05,0.0,0.02,0.2,4.25,0.07,4.18,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,42,30,130,y_pred,20.0,0.14,0.01,0.03,0.11,2.6401999999999997,0.16,2.4802,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,42,30,130,y_pred,30.0,0.25,0.02,0.02,0.02,0.8523999999999999,0.25,0.6023999999999999,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,42,30,130,y_pred,50.0,0.32,0.01,0.02,0.0,0.5207999999999999,0.33,0.19079999999999997,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,43,30,130,y_pred,10.0,0.03,0.0,0.04,0.22,4.83,0.07,4.76,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,43,30,130,y_pred,20.0,0.12,0.01,0.05,0.13,3.2201999999999997,0.16,3.0602,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,43,30,130,y_pred,30.0,0.24,0.02,0.03,0.03,1.1423999999999999,0.25,0.8924,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,43,30,130,y_pred,50.0,0.35,0.03,0.01,0.0,0.46159999999999995,0.33,0.1316,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,44,30,130,y_pred,10.0,0.08,0.01,0.0,0.17,3.4802,0.07,3.4101999999999997,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,44,30,130,y_pred,20.0,0.14,0.02,0.04,0.11,2.7403999999999997,0.16,2.5803999999999996,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,44,30,130,y_pred,30.0,0.24,0.02,0.03,0.03,1.1423999999999999,0.25,0.8924,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru_safety_mse,44,30,130,y_pred,50.0,0.35,0.03,0.01,0.0,0.46159999999999995,0.33,0.1316,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,42,30,130,y_pred,10.0,0.04,0.01,0.04,0.21,4.6402,0.07,4.5702,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,42,30,130,y_pred,20.0,0.14,0.0,0.02,0.11,2.54,0.16,2.38,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,42,30,130,y_pred,30.0,0.24,0.02,0.03,0.03,1.1423999999999999,0.25,0.8924,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,42,30,130,y_pred,50.0,0.31,0.02,0.04,0.0,0.7145999999999999,0.33,0.38459999999999994,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,43,30,130,y_pred,10.0,0.01,0.0,0.06,0.24,5.41,0.07,5.34,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,43,30,130,y_pred,20.0,0.12,0.0,0.04,0.13,3.12,0.16,2.96,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,43,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,43,30,130,y_pred,50.0,0.33,0.03,0.03,0.0,0.6416,0.33,0.3116,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,44,30,130,y_pred,10.0,0.03,0.01,0.05,0.22,4.9302,0.07,4.8602,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,44,30,130,y_pred,20.0,0.17,0.02,0.01,0.09,2.0738,0.16,1.9138,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,44,30,130,y_pred,30.0,0.21,0.01,0.05,0.05,1.7116,0.25,1.4616,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,lstm,44,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6278,0.33,0.29779999999999995,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,42,30,130,y_pred,10.0,0.05,0.0,0.02,0.2,4.25,0.07,4.18,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,42,30,130,y_pred,20.0,0.13,0.01,0.04,0.12,2.9301999999999997,0.16,2.7702,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,42,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,42,30,130,y_pred,50.0,0.3,0.02,0.05,0.0,0.8108,0.33,0.4808,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,43,30,130,y_pred,10.0,0.05,0.0,0.02,0.2,4.25,0.07,4.18,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,43,30,130,y_pred,20.0,0.11,0.01,0.06,0.14,3.5101999999999998,0.16,3.3501999999999996,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,43,30,130,y_pred,30.0,0.21,0.01,0.05,0.05,1.7116,0.25,1.4616,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,43,30,130,y_pred,50.0,0.31,0.02,0.04,0.0,0.7208,0.33,0.3908,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,44,30,130,y_pred,10.0,0.04,0.0,0.03,0.21,4.54,0.07,4.47,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,44,30,130,y_pred,20.0,0.14,0.02,0.04,0.11,2.7403999999999997,0.16,2.5804,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,44,30,130,y_pred,30.0,0.21,0.01,0.05,0.05,1.7116,0.25,1.4616,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,random_forest,44,30,130,y_pred,50.0,0.3,0.02,0.05,0.0,0.8108,0.33,0.4808,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,42,30,130,y_pred,10.0,0.07,0.0,0.0,0.18,3.67,0.07,3.6,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,42,30,130,y_pred,20.0,0.1,0.0,0.06,0.15,3.7,0.16,3.54,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,42,30,130,y_pred,30.0,0.14,0.0,0.11,0.11,3.44,0.25,3.19,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,42,30,130,y_pred,50.0,0.25,0.0,0.08,0.0,1.05,0.33,0.72,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,43,30,130,y_pred,10.0,0.07,0.0,0.0,0.18,3.67,0.07,3.6,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,43,30,130,y_pred,20.0,0.1,0.0,0.06,0.15,3.7,0.16,3.54,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,43,30,130,y_pred,30.0,0.14,0.0,0.11,0.11,3.44,0.25,3.19,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,43,30,130,y_pred,50.0,0.27,0.0,0.06,0.0,0.87,0.33,0.54,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,44,30,130,y_pred,10.0,0.06,0.0,0.01,0.19,3.96,0.07,3.89,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,44,30,130,y_pred,20.0,0.1,0.0,0.06,0.15,3.7,0.16,3.54,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,44,30,130,y_pred,30.0,0.14,0.0,0.11,0.11,3.44,0.25,3.19,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,ridge,44,30,130,y_pred,50.0,0.26,0.0,0.07,0.0,0.96,0.33,0.63,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,42,30,130,y_pred,10.0,0.03,0.0,0.04,0.22,4.83,0.07,4.76,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,42,30,130,y_pred,20.0,0.15,0.01,0.02,0.1,2.3501999999999996,0.16,2.1902,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,42,30,130,y_pred,30.0,0.19,0.01,0.07,0.07,2.2916,0.25,2.0416,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,42,30,130,y_pred,50.0,0.31,0.02,0.04,0.01,0.9178000000000001,0.33,0.5878,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,43,30,130,y_pred,10.0,0.06,0.01,0.02,0.19,4.0602,0.07,3.9901999999999997,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,43,30,130,y_pred,20.0,0.16,0.02,0.02,0.1,2.3638,0.16,2.2037999999999998,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,43,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,43,30,130,y_pred,50.0,0.29,0.02,0.06,0.01,1.0978,0.33,0.7678,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,44,30,130,y_pred,10.0,0.07,0.01,0.01,0.18,3.7702,0.07,3.7001999999999997,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,44,30,130,y_pred,20.0,0.15,0.01,0.02,0.11,2.5536000000000003,0.16,2.3936,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,44,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,tcn,44,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6278,0.33,0.2978,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,42,30,130,y_pred,10.0,0.05405405405405406,0.02702702702702703,0.05791505791505792,0.18146718146718147,4.264942084942085,0.08494208494208494,4.18,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,42,30,130,y_pred,20.0,0.138996138996139,0.003861003861003861,0.0694980694980695,0.10038610038610038,2.8425482625482625,0.20463320463320464,2.637915057915058,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,42,30,130,y_pred,30.0,0.1969111969111969,0.015444015444015444,0.05405405405405406,0.05405405405405406,1.8202316602316602,0.23552123552123552,1.5847104247104247,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,42,30,130,y_pred,50.0,0.2972972972972973,0.02702702702702703,0.0694980694980695,0.011583011583011582,1.227722007722008,0.33976833976833976,0.887953667953668,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,43,30,130,y_pred,10.0,0.06177606177606178,0.02702702702702703,0.05019305019305019,0.17374517374517376,4.041544401544402,0.08494208494208494,3.9566023166023174,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,43,30,130,y_pred,20.0,0.13513513513513514,0.003861003861003861,0.07335907335907337,0.10424710424710425,2.9545173745173745,0.20463320463320464,2.74988416988417,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,43,30,130,y_pred,30.0,0.20463320463320464,0.015444015444015444,0.04633204633204633,0.04633204633204633,1.5987644787644788,0.23552123552123552,1.363243243243243,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,43,30,130,y_pred,50.0,0.2972972972972973,0.02702702702702703,0.0694980694980695,0.011583011583011582,1.227722007722008,0.33976833976833976,0.887953667953668,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,44,30,130,y_pred,10.0,0.06177606177606178,0.03861003861003861,0.06177606177606178,0.17374517374517376,4.157837837837838,0.08494208494208494,4.072895752895754,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,44,30,130,y_pred,20.0,0.14285714285714285,0.003861003861003861,0.06563706563706563,0.09652509652509653,2.7305791505791506,0.20463320463320464,2.525945945945946,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,44,30,130,y_pred,30.0,0.20077220077220076,0.019305019305019305,0.05405405405405406,0.05405405405405406,1.827027027027027,0.23552123552123552,1.5915057915057915,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gradient_boosting,44,30,130,y_pred,50.0,0.3088803088803089,0.02702702702702703,0.05791505791505792,0.007722007722007722,1.0462548262548264,0.33976833976833976,0.7064864864864865,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,42,30,130,y_pred,10.0,0.05019305019305019,0.003861003861003861,0.03861003861003861,0.18532818532818532,4.142934362934363,0.08494208494208494,4.057992277992278,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,42,30,130,y_pred,20.0,0.17374517374517376,0.003861003861003861,0.03474903474903475,0.06177606177606178,1.756988416988417,0.20463320463320464,1.5523552123552125,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,42,30,130,y_pred,30.0,0.22393822393822393,0.007722007722007722,0.019305019305019305,0.019305019305019305,0.8034749034749034,0.23552123552123552,0.567953667953668,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,42,30,130,y_pred,50.0,0.2972972972972973,0.015444015444015444,0.05791505791505792,0.003861003861003861,0.956911196911197,0.33976833976833976,0.6171428571428571,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,43,30,130,y_pred,10.0,0.06177606177606178,0.023166023166023165,0.04633204633204633,0.17374517374517376,4.001312741312742,0.08494208494208494,3.9163706563706566,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,43,30,130,y_pred,20.0,0.18146718146718147,0.007722007722007722,0.03088803088803089,0.05791505791505792,1.6497297297297298,0.20463320463320464,1.445096525096525,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,43,30,130,y_pred,30.0,0.23166023166023167,0.011583011583011582,0.015444015444015444,0.015444015444015444,0.6962934362934362,0.23552123552123552,0.46077220077220077,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,43,30,130,y_pred,50.0,0.3204633204633205,0.015444015444015444,0.03474903474903475,0.0,0.6701158301158301,0.33976833976833976,0.33034749034749034,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,44,30,130,y_pred,10.0,0.08494208494208494,0.023166023166023165,0.023166023166023165,0.15057915057915058,3.329189189189189,0.08494208494208494,3.2442471042471044,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,44,30,130,y_pred,20.0,0.17374517374517376,0.007722007722007722,0.03861003861003861,0.06177606177606178,1.7958301158301158,0.20463320463320464,1.5911969111969113,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,44,30,130,y_pred,30.0,0.23166023166023167,0.007722007722007722,0.011583011583011582,0.011583011583011582,0.5795366795366795,0.23552123552123552,0.344015444015444,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru,44,30,130,y_pred,50.0,0.3474903474903475,0.03861003861003861,0.03088803088803089,0.0,0.6666409266409267,0.33976833976833976,0.3268725868725869,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,42,30,130,y_pred,10.0,0.09652509652509653,0.03088803088803089,0.019305019305019305,0.138996138996139,3.0710424710424715,0.08494208494208494,2.9861003861003863,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,42,30,130,y_pred,20.0,0.1969111969111969,0.011583011583011582,0.019305019305019305,0.04247104247104247,1.2406949806949807,0.20463320463320464,1.036061776061776,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,42,30,130,y_pred,30.0,0.2548262548262548,0.02702702702702703,0.007722007722007722,0.007722007722007722,0.4911196911196911,0.23552123552123552,0.2555984555984556,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,42,30,130,y_pred,50.0,0.38996138996138996,0.06563706563706563,0.015444015444015444,0.0,0.5624710424710425,0.33976833976833976,0.2227027027027027,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,43,30,130,y_pred,10.0,0.07722007722007722,0.023166023166023165,0.03088803088803089,0.1583011583011583,3.5531274131274126,0.08494208494208494,3.4681853281853283,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,43,30,130,y_pred,20.0,0.18532818532818532,0.011583011583011582,0.03088803088803089,0.05405405405405406,1.5766023166023166,0.20463320463320464,1.3719691119691122,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,43,30,130,y_pred,30.0,0.23938223938223938,0.011583011583011582,0.007722007722007722,0.007722007722007722,0.47196911196911195,0.23552123552123552,0.23644787644787643,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,43,30,130,y_pred,50.0,0.3667953667953668,0.04247104247104247,0.015444015444015444,0.0,0.5322779922779923,0.33976833976833976,0.19250965250965252,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,44,30,130,y_pred,10.0,0.10038610038610038,0.03088803088803089,0.015444015444015444,0.13513513513513514,2.9592277992277993,0.08494208494208494,2.8742857142857146,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,44,30,130,y_pred,20.0,0.20077220077220076,0.015444015444015444,0.019305019305019305,0.03861003861003861,1.167799227799228,0.20463320463320464,0.9631660231660232,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,44,30,130,y_pred,30.0,0.25096525096525096,0.023166023166023165,0.007722007722007722,0.007722007722007722,0.4863320463320463,0.23552123552123552,0.25081081081081086,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,gru_safety_mse,44,30,130,y_pred,50.0,0.36293436293436293,0.04633204633204633,0.023166023166023165,0.0,0.6091891891891892,0.33976833976833976,0.26942084942084943,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,42,30,130,y_pred,10.0,0.04633204633204633,0.011583011583011582,0.05019305019305019,0.1891891891891892,4.332586872586872,0.08494208494208494,4.247644787644787,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,42,30,130,y_pred,20.0,0.16988416988416988,0.003861003861003861,0.03861003861003861,0.06563706563706563,1.8689575289575289,0.20463320463320464,1.6643243243243244,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,42,30,130,y_pred,30.0,0.21235521235521235,0.0,0.023166023166023165,0.023166023166023165,0.9073359073359073,0.23552123552123552,0.6718146718146718,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,42,30,130,y_pred,50.0,0.30115830115830117,0.03088803088803089,0.0694980694980695,0.007722007722007722,1.1575289575289576,0.33976833976833976,0.8177606177606178,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,43,30,130,y_pred,10.0,0.05405405405405406,0.015444015444015444,0.04633204633204633,0.18146718146718147,4.147567567567567,0.08494208494208494,4.0626254826254815,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,43,30,130,y_pred,20.0,0.16988416988416988,0.007722007722007722,0.04247104247104247,0.06563706563706563,1.908030888030888,0.20463320463320464,1.7033976833976834,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,43,30,130,y_pred,30.0,0.21235521235521235,0.0,0.023166023166023165,0.023166023166023165,0.9073359073359073,0.23552123552123552,0.6718146718146718,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,43,30,130,y_pred,50.0,0.3127413127413127,0.03088803088803089,0.05791505791505792,0.007722007722007722,1.0532046332046334,0.33976833976833976,0.7134362934362936,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,44,30,130,y_pred,10.0,0.05405405405405406,0.015444015444015444,0.04633204633204633,0.18146718146718147,4.147567567567567,0.08494208494208494,4.0626254826254815,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,44,30,130,y_pred,20.0,0.17374517374517376,0.003861003861003861,0.03474903474903475,0.06177606177606178,1.756988416988417,0.20463320463320464,1.5523552123552125,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,44,30,130,y_pred,30.0,0.21235521235521235,0.003861003861003861,0.02702702702702703,0.02702702702702703,1.0236293436293435,0.23552123552123552,0.7881081081081082,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,random_forest,44,30,130,y_pred,50.0,0.3127413127413127,0.03474903474903475,0.06177606177606178,0.007722007722007722,1.0942084942084942,0.33976833976833976,0.7544401544401544,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,ridge,42,30,130,y_pred,10.0,0.07722007722007722,0.03474903474903475,0.04247104247104247,0.1583011583011583,3.6716602316602316,0.08494208494208494,3.586718146718147,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,ridge,42,30,130,y_pred,20.0,0.12355212355212356,0.007722007722007722,0.0888030888030888,0.11196911196911197,3.251660231660232,0.20463320463320464,3.047027027027027,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD002,ridge,42,30,130,y_pred,30.0,0.17374517374517376,0.007722007722007722,0.0694980694980695,0.0694980694980695,2.259227799227799,0.23552123552123552,2.0237065637065634,mean,baseline,1.0,0.02,10.0,20.0,30.0
