subset,metric,rmse_best,metric_best,same_as_rmse_best,rmse_best_metric_value,metric_best_value,rmse_at_rmse_best,rmse_at_metric_best,rmse_change_pct
FD001,rmse,asymmetric_w2_h64_l1_w30,asymmetric_w2_h64_l1_w30,True,14.641811743829976,14.641811743829976,14.641811743829976,14.641811743829976,0.0
FD001,mae,asymmetric_w2_h64_l1_w30,asymmetric_w2_h64_l1_w30,True,10.357998168468475,10.357998168468475,14.641811743829976,14.641811743829976,0.0
FD001,nasa_per_engine,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,4.382608012837028,3.2343992750071258,14.641811743829976,15.025683042613815,2.621747263931337
FD001,critical_rmse_30,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,4.298576311202883,3.6954715216483915,14.641811743829976,15.025683042613815,2.621747263931337
FD001,critical_rmse_50,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,5.404353597936655,5.030089096254616,14.641811743829976,15.025683042613815,2.621747263931337
FD001,overestimation_ratio,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.49,0.3466666666666667,14.641811743829976,15.025683042613815,2.621747263931337
FD001,overestimation_magnitude,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,4.950501268704732,2.9505896218617758,14.641811743829976,15.025683042613815,2.621747263931337
FD001,sarbi,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.7942025515511135,0.6845406851985899,14.641811743829976,15.025683042613815,2.621747263931337
FD002,rmse,critical_w2_h64_l1_w30,critical_w2_h64_l1_w30,True,18.33856789307415,18.33856789307415,18.33856789307415,18.33856789307415,0.0
FD002,mae,critical_w2_h64_l1_w30,critical_w2_h64_l1_w30,True,13.84112859999658,13.84112859999658,18.33856789307415,18.33856789307415,0.0
FD002,nasa_per_engine,critical_w2_h64_l1_w30,asymmetric_w2_h64_l1_w30,False,6.311536115944648,6.117212287334528,18.33856789307415,19.633140066153583,7.059287184406311
FD002,critical_rmse_30,critical_w2_h64_l1_w30,safety_w2_h64_l1_w30,False,5.993699640935293,5.244016001831441,18.33856789307415,21.11886862759435,15.16094795804761
FD002,critical_rmse_50,critical_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,9.451298060004147,7.7086040431119285,18.33856789307415,22.121352978070536,20.627483602059332
FD002,overestimation_ratio,critical_w2_h64_l1_w30,asymmetric_w3_h64_l1_w30,False,0.4015444015444016,0.25611325611325614,18.33856789307415,21.962819111231557,19.76300024783377
FD002,overestimation_magnitude,critical_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,5.310405435402575,2.4639972830371044,18.33856789307415,22.121352978070536,20.627483602059332
FD002,sarbi,critical_w2_h64_l1_w30,critical_w3_h64_l1_w30,False,0.9467429715090905,0.8945750510080944,18.33856789307415,19.04950516350309,3.8767327665615365
FD003,rmse,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,12.83238923621959,12.83238923621959,12.83238923621959,12.83238923621959,0.0
FD003,mae,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,9.505513846079507,9.505513846079507,12.83238923621959,12.83238923621959,0.0
FD003,nasa_per_engine,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,2.6128426401974774,2.6128426401974774,12.83238923621959,12.83238923621959,0.0
FD003,critical_rmse_30,critical_w3_h64_l1_w30,asymmetric_w2_h64_l1_w30,False,4.086377759872813,3.746784771735568,12.83238923621959,13.1230690870127,2.265204440437809
FD003,critical_rmse_50,critical_w3_h64_l1_w30,critical_w2_h64_l1_w30,False,4.996799100921507,4.5182651820920015,12.83238923621959,13.072370904291626,1.870124601540949
FD003,overestimation_ratio,critical_w3_h64_l1_w30,asymmetric_w3_h64_l1_w30,False,0.42,0.3733333333333333,12.83238923621959,15.216084387367147,18.575614464838274
FD003,overestimation_magnitude,critical_w3_h64_l1_w30,safety_w3_h64_l1_w30,False,4.581974337895711,3.241063083012899,12.83238923621959,14.363105578294793,11.928537343262114
FD003,sarbi,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,0.8858182044511599,0.8858182044511599,12.83238923621959,12.83238923621959,0.0
