subset,setting,group,rmse_mean,rmse_std,mae_mean,mae_std,score_mean,score_std,crit30_mean,crit30_std,crit50_mean,crit50_std,over_mean,over_std,count
FD001,1D-CNN,main,22.466952413408745,1.1668559598681274,16.490486737887064,0.7695808816791021,3867.76863092264,1423.6414479224943,26.51965339837457,2.4298660768918854,25.41495155197872,2.083494392066709,0.5633333333333334,0.0115470053837924,3
FD001,Gradient Boosting,main,12.81370316322021,0.3764860391735424,9.829174018054887,0.2059732832320611,247.4554490431981,19.620716673495476,5.193289371726984,0.3198636621151731,5.60478798777412,0.2422381871947629,0.6066666666666666,0.0115470053837925,3
FD001,GRU,main,15.265829432813751,0.640211734092443,11.325909933249156,0.4454195562591284,483.2332103379444,101.11515657434788,4.613046071193166,0.9997698272362566,5.709739207785972,0.6529110750398659,0.5866666666666666,0.0208166599946613,3
FD001,GRU safety-w2,main,14.964994790034952,0.8766248353473366,10.591763962904611,0.8138424788955461,421.193736071164,26.524384640483817,3.7518961094170016,0.0756639180319174,4.863028563746762,0.3935652502881857,0.4666666666666666,0.0503322295684716,3
FD001,LSTM,main,15.5989004903252,0.5103607652662518,11.449461348851523,0.3618387014132263,563.5692376024285,71.39983932856879,4.575551915975623,0.6296964746046511,6.521910876814658,0.6568586664175057,0.6266666666666666,0.0404145188432738,3
FD001,Random Forest,main,13.010306741015947,0.5729857815387652,9.623472574185074,0.3477109395263444,258.65491990326285,18.15331365258209,5.587888924205917,0.4178686691164318,6.205035233290637,0.1593424994808993,0.6166666666666667,0.0513160143944688,3
FD001,Ridge,main,16.921573384483438,0.113258748280867,13.332134583791095,0.2273923345831971,510.3215319635082,15.74975424191567,16.614393236033226,0.2551295211419521,16.677946887557425,0.2911611006207083,0.58,0.0173205080756887,3
FD003,1D-CNN,main,23.7596412252288,0.4219246169696584,17.2504497440656,0.595752839182162,3533.324652414005,791.4050528725863,21.71234536284655,1.9113047989370424,24.90856185287316,0.9649947830893896,0.57,0.0346410161513775,3
FD003,Gradient Boosting,main,13.208707858844647,0.3543701189857057,9.665715598304857,0.2335943456884023,311.84973003426376,36.16630951318465,4.093879363508589,0.1718556387657144,5.533076019549712,0.6138067081619564,0.5733333333333334,0.0208166599946612,3
FD003,GRU,main,15.236428706802808,1.4451000570540269,10.554368959267936,1.069602517582075,622.2669961325004,322.0569070545371,5.29018590002425,1.2278473155812173,6.19417302061408,2.039994194028952,0.5533333333333333,0.0321455025366431,3
FD003,GRU safety-w2,main,15.989394027891764,2.6091725290242818,11.993748893737791,2.185044176863161,608.3093418974277,406.157051166989,5.423425417623907,4.185045488237371,7.57426681233646,5.183493363824507,0.43,0.0299999999999999,3
FD003,LSTM,main,14.41224642349676,1.566897819329499,10.21755619208018,0.7510369484351206,550.2587094576205,317.86272937273685,5.199235620325741,0.6295815920224302,5.091451109551976,0.4048907507978818,0.5066666666666667,0.0723417813807023,3
FD003,Random Forest,main,13.984279126470726,0.2486231299102337,10.139146258278757,0.2366811895611518,343.89594227388466,6.922661331057463,3.5912163909188606,0.5176603519570924,4.761971324153413,0.070860104028449,0.5833333333333334,0.0251661147842357,3
FD003,Ridge,main,18.020317442823305,0.3709925651838639,14.904038047790529,0.1922574243991142,627.3054075078571,58.78040933894468,15.48943933981622,0.5933504660585303,15.87434888090629,0.5274444138274554,0.6,0.03,3
FD001,GRU window20,focused,17.385919839004487,0.1508748218422118,12.347210036913552,0.3750498219654604,716.4720497305412,45.85479272159792,8.846981547042285,2.5488947574682994,9.165750362887527,2.6213886450319897,0.5733333333333334,0.0288675134594812,3
FD001,GRU ablation-base,focused,15.265829432813751,0.640211734092443,11.325909933249156,0.4454195562591284,483.2332103379444,101.11515657434788,4.613046071193166,0.9997698272362566,5.709739207785972,0.6529110750398659,0.5866666666666666,0.0208166599946613,3
FD001,GRU,focused,15.204471032000558,,11.33563473701477,,419.0100265513023,,4.599905341228758,,5.197810302491924,,0.61,,1
FD001,GRU 2layer,focused,15.01942270379195,,11.29388382911682,,458.04118643359374,,4.334673607862902,,5.411830084868741,,0.63,,1
FD001,GRU hidden128,focused,15.097975244703564,,11.315946931838988,,486.4900995870643,,6.035156197312046,,6.257108268132928,,0.6,,1
FD001,GRU window50,focused,15.66538067165417,0.5753194550904288,11.652633721033732,0.376736571726371,425.21292732869097,33.425655317324434,5.004638214824291,1.089729609780667,6.1344603350175175,0.9229450662735982,0.5233333333333333,0.0737111479583199,3
FD001,GRU safety-w1.5,focused,13.985133994239002,0.2629196126522397,10.006996410687764,0.2143191233632597,312.81602255173084,12.614943063075197,3.967830450905789,0.9898478921277092,4.9377435430290255,0.6593843641599612,0.5633333333333334,0.0305505046330389,3
FD001,GRU safety-w2,focused,15.96950420103112,,11.507676584720612,,395.98202185056033,,3.808374401744691,,4.75966044462898,,0.42,,1
FD001,GRU safety-w2+plateau,focused,14.985324681110551,,10.819376587867737,,339.3623610078988,,4.390566106406484,,5.035032265520635,,0.51,,1
FD003,GRU window20,focused,16.896301305062178,2.2126513633849174,12.502999240557353,1.8832745053261488,1076.4006758323228,444.72620007151534,8.34512445150153,3.012236927229496,13.421003407853137,4.028189852776201,0.5966666666666667,0.0351188458428424,3
FD003,GRU ablation-base,focused,15.236428706802808,1.4451000570540269,10.554368959267936,1.069602517582075,622.2669961325004,322.0569070545371,5.29018590002425,1.2278473155812173,6.19417302061408,2.039994194028952,0.5533333333333333,0.0321455025366431,3
FD003,GRU,focused,14.44716712374437,,9.592733259201047,,544.848160232847,,4.366759234007876,,5.304467273236254,,0.5,,1
FD003,GRU 2layer,focused,13.835725214286196,,10.078058423399924,,341.43376309024364,,5.668340697821737,,6.263930672123574,,0.6,,1
