subset,contrast_id,contrast_label,baseline_job,candidate_job,metric,candidate_minus_baseline,ci95_low,ci95_high,n_paired_seed_engine,ci_excludes_zero,direction,interpretation
FD002,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,critical_rmse_50,0.505206644675086,-0.42907619225275684,1.8091094016029676,777,False,uncertain,uncertain
FD002,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_ratio,0.030888030888030882,0.0025740025740025874,0.059202059202059176,777,True,candidate_higher,cost_or_worse
FD002,cycle_vs_no_cycle,Cycle minus no-cycle,dual_no_cycle_h64_l1_w30,dual_cycle_h64_l1_w30,overestimation_magnitude,0.3809699885456883,0.03391605244530258,0.7352007049453028,777,True,candidate_higher,cost_or_worse
FD002,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,rmse,2.279761093555262,1.5186216318539065,3.034344991031915,777,True,candidate_higher,cost_or_worse
FD002,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,mae,1.829047176833976,1.2244077477702708,2.418317427590089,777,True,candidate_higher,cost_or_worse
FD002,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,critical_rmse_50,-0.6838095010488114,-1.9445458531259239,0.5418375055673669,777,False,uncertain,uncertain
FD002,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_ratio,-0.08236808236808235,-0.10939510939510944,-0.056628056628056644,777,True,candidate_lower,improvement
FD002,safety_vs_cycle,Cycle+safety minus cycle,dual_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_magnitude,-1.669474732689833,-2.0358654193275414,-1.3290052402702703,777,True,candidate_lower,improvement
FD002,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_no_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,rmse,2.376787929733286,1.5719914769567322,3.1182633566899867,777,True,candidate_higher,cost_or_worse
FD002,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_no_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,mae,1.9955387108108091,1.4041723280019314,2.620713174430501,777,True,candidate_higher,cost_or_worse
FD002,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_no_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,critical_rmse_50,-0.17860285637372542,-1.3232492469928452,0.9201216157967878,777,False,uncertain,uncertain
FD002,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_no_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_ratio,-0.05148005148005147,-0.07853925353925358,-0.024453024453024497,777,True,candidate_lower,improvement
FD002,safety_vs_rmse_best,Cycle+safety minus Paper2 RMSE-best,dual_no_cycle_h64_l1_w30,dual_cycle_safety_w2_h64_l1_w30,overestimation_magnitude,-1.2885047441441446,-1.6669917933172465,-0.9281961037258696,777,True,candidate_lower,improvement
FD003,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,rmse,0.05614589519980662,-1.0879226939512363,1.1727880113623355,300,False,uncertain,uncertain
FD003,cycle_vs_lstm,Cycle minus LSTM baseline,lstm_baseline_h64_l1_w30,dual_cycle_h64_l1_w30,mae,0.014158823333330517,-0.8278777219333346,0.8664004401333302,300,False,uncertain,uncertain
